country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Austria ,3706.074894,3959.367603,3967.22063,4137.045846,4554.761968,5053.344053,5396.729369,5716.164264,5906.667441,6051.182928,6518.540003,6826.976959,6949.641676,7186.226059,7566.930484,7734.129898,8112.327859,8296.735339,8620.569914,9131.097674,9747.443648,10200.14447,10770.65683,11234.60427,11657.79142,11646.40846,12201.0039,12766.71648,12730.64231,13448.04406,13759.179,13717.92325,13961.1093,14393.94902,14439.38231,14752.42124,15080.78098,15312.63825,15754.38061,16359.89434,16894.58044,17262.63107,17409.04261,17339.45372,17669.83659,18096.42706,18511.93112,18918.16235,19613.07624,20268.21931,20961.72263
Belgium ,5462.204473,5746.921144,5668.236468,5818.152074,6029.108622,6280.222924,6422.455791,6494.635565,6441.830051,6608.281068,6952.087469,7252.831177,7583.09468,7862.459739,8340.770791,8559.392894,8775.952376,9071.835923,9415.524828,10018.20508,10610.82405,10969.55286,11502.50796,12169.96632,12642.96976,12440.78491,13122.31169,13189.94482,13553.92331,13860.6514,14467.4412,14278.75442,14474.49414,14473.91918,14832.62813,14977.37924,15195.40043,15540.92116,16251.71995,16743.91964,17196.97752,17450.63067,17645.19761,17406.49234,17901.6676,18269.83317,18487.35673,19138.65972,19474.91101,20127.57653,20809.35869
Denmark ,6943.104659,6936.486028,6955.237656,7291.590376,7371.311847,7395.359315,7438.758698,7965.094942,8095.222908,8637.155031,8811.831478,9311.866393,9747.360552,9731.660339,10559.57507,10953.3217,11159.77071,11436.51319,11836.74727,12530.55041,12685.55135,12933.58258,13538.35527,13945.4278,13751.22218,13621.12517,14466.36003,14655.4362,14825.69319,15313.47717,15227.32556,15096.14626,15563.29758,15966.22175,16675.92988,17384.11648,17993.24055,18023.32113,18224.3315,18261.33496,18452.42611,18643.7902,18949.44493,18870.4338,19847.26641,20350.02991,20809.66082,21387.53818,21770.86504,22255.43737,22966.11846
Finland ,4253.286438,4571.195612,4674.489671,4651.640334,5001.552461,5196.816926,5295.326623,5490.055504,5474.333685,5753.521287,6230.3594,6657.918262,6818.966644,6993.994883,7306.733759,7669.600231,7824.497928,7946.598856,8092.997057,8877.575406,9576.869279,9764.698434,10447.53955,11085.10547,11361.29608,11441.30275,11358.40381,11354.52896,11558.90086,12331.54728,12948.95842,13134.05684,13484.75315,13766.87239,14106.71664,14522.06269,14819.45896,15382.23207,16087.91273,16945.69265,16866.37534,15767.88816,15136.11477,14942.82753,15424.26918,15976.98765,16496.66915,17472.30354,18306.52538,18981.00269,19950.89192
France,5185.850699,5461.107741,5564.259911,5683.940683,5915.17959,6198.787824,6448.462727,6761.782424,6855.171507,6978.776908,7397.582861,7718.426413,8067.063154,8362.671366,8819.33667,9165.415044,9544.13579,9907.186575,10267.01807,10885.56441,11410.08899,11844.96109,12263.54596,12824.4239,13112.53492,12957.20508,13466.38601,13912.70367,14240.21098,14634.38252,14766.15859,14839.90686,15131.64084,15245.11434,15381.92938,15530.27084,15833.03658,16157.89012,16789.57296,17299.7008,17647.00523,17724.13539,17879.52249,17666.01847,17978.19967,18261.96131,18373.41769,18690.44426,19233.28587,19771.39217,20391.87707
Germany ,3880.887181,4205.811718,4552.602009,4905.087597,5246.799631,5796.972039,6176.63523,6492.214084,6736.765261,7176.68863,7705.233225,7952.160375,8222.121781,8385.523537,8822.353557,9185.72917,9387.599086,9396.681114,9864.450073,10440.36049,10839.14509,11076.76885,11480.84899,11966.46444,12063.03152,12040.6076,12683.84712,13071.90245,13455.31991,13993.30073,14114.03043,14148.59832,14039.64084,14328.8567,14783.18363,15139.76196,15469.01416,15701.37318,16160.11478,16558.12097,15928.8451,16649.5235,16890.56051,16644.68024,17027.78617,17298.81911,17420.22081,17708.52522,18028.88074,18380.04362,18943.51638
North Italy,3171.70207,3450.709971,3590.602717,3829.820934,3947.212343,4189.735516,4368.007908,4590.974041,4822.883142,5130.814034,5456.190048,5852.674923,6203.007071,6531.859976,6727.938954,6963.939321,7366.023312,7872.31376,8382.405286,8879.374047,9366.59635,9489.247578,9795.126256,10413.54967,10913.87795,10618.98248,11307.66354,11541.91781,11869.49023,12532.28817,12927.018,13018.32219,13064.01326,13208.59719,13634.09493,14009.77272,14408.10528,14867.91937,15484.70301,15996.87735,16313.12751,16562.94803,16634.00746,16440.83835,16761.73957,17216.59527,17378.12044,17675.65493,17908.53959,18140.51642,18761.3716
Netherlands,5996.12776,6031.968439,6083.805915,6542.532753,6906.865322,7325.844804,7498.518507,7613.55741,7482.071624,7736.675444,8286.609786,8201.508191,8639.309404,8832.216304,9437.195311,9797.835991,9936.249478,10341.25909,10894.34076,11462.13004,11966.77341,12319.36938,12597.19334,13081.2409,13497.42374,13373.62795,13884.9098,14176.86826,14424.01868,14647.25379,14704.50055,14525.0799,14291.4933,14483.25316,14899.69988,15282.87851,15617.07056,15737.03547,16043.53101,16695.23555,17262.06918,17547.90432,17719.66846,17823.66395,18222.90474,18696.69735,19247.86821,19972.66125,20630.88738,21456.94928,22148.20084
Norway ,5429.510033,5670.275908,5813.921634,5985.189448,6225.503335,6301.378929,6575.161222,6711.486441,6652.325037,6874.477852,7203.721737,7594.662505,7746.04395,7981.694502,8315.945521,8689.788208,8945.219909,9422.753223,9551.198519,9899.294776,10027.23087,10472.39164,10921.91585,11324.42307,11726.19884,12271.31779,12930.00603,13424.93283,13840.21049,14411.26215,15076.03294,15169.3848,15145.30141,15635.7829,16512.69986,17319.67816,17882.07024,18164.34824,18059.10797,18156.69966,18466.01022,18951.36247,19506.31771,19930.8412,20818.4862,21578.25469,22563.88544,23649.02047,24135.28037,24455.05648,25087.59906
Sweden ,6739.226206,6948.845087,6996.113504,7144.570283,7402.103559,7565.553489,7797.06202,8092.425107,8082.85442,8287.930166,8687.503342,9136.968085,9468.775747,9916.850005,10515.37914,10815.18261,10935.60286,11219.21522,11561.2306,12055.19062,12716.34257,12748.43085,13001.75197,13493.56071,13884.58635,14183.33929,14281.63132,14003.62352,14207.36172,14721.01783,14936.58,14916.54939,15057.54775,15314.50841,15908.31178,16188.54666,16505.22956,16948.84461,17232.27548,17524.05504,17608.90241,17276.29206,16969.00286,16524.27793,17066.26515,17645.71762,17901.2891,18374.99354,19136.77005,20012.53004,20871.2466
